"date","type","Nasdaq100Fut","8:30","sq9:00","zm9:00","16:00","成行","target","基準","基準momemtum","Memo","PER100値"
"2021-04-08","3","0.80","0.8","1.1","0.7","2.5","↗︎0.2↗︎0.2","0.9","中立","-1@","⇨3.2(10:00に3.2%)","225.26"
"2021-04-09","5","-0.5","-0.1","-0.7","-1.0","-2.6","↗︎0.6↗︎1.0","-3.4","高い","1@","⇨-2.6","225.26"
"2021-04-12","1","-0.2","-0.4","-1.2","-0.3","-0.4","↘︎-0.4↗︎0.2","-2.0","中立","-1@323.52","⇨-0.2(9:55に-2.0%)","225.26"
"2021-04-13","2","0.5","1.4","2.0","1.4","6.6","↗︎0.6↗︎0.7","1.4","安め","-2@361.12","⇨5.4(11:00に5.4%)","225.26"
"2021-04-14","4","0.3","0.7","0.5","0.5","-4.0","↘︎-3.2↘︎-1.4","-4.0","高い","1@328.88","⇨-4.0","225.26"
"2021-04-15","3","1.0","1.4","1.7","1.7","1.0","↗︎0.8↗︎0.7","-0.3","中立","-1@332.07","⇨1.0","225.26"
"2021-04-16","1","0.3","0.3","-0.7","-0.7","-0.7","↘︎-1.3↘︎-0.3","-1.6","中立","0@329.75","⇨0.1(9:40に-1.3%)","225.26"
"2021-04-19","3","-0.4","-0.7","-0.9","-0.7","-1.7","↘︎-0.9↘︎-0.6","-2.3","中立","0@324.14","⇨-1.7","225.26"
"2021-04-20","6","-0.3","0.5","0.5","0.1","-0.8","↘︎-2.6↘︎-0.8","-2.3","安め","-1@321.49","⇨-0.7","225.26"
"2021-04-21","1","-0.4","-1.1","-1.5","-1.5","0.3","↗︎2.6↗︎1.3","-2.5","安い","-2@322.45","⇨0.3(9:40に-2.5%)","225.26"
"2021-04-22","6","-0.1","0.0","0.7","0.2","1.7","↗︎0.3↘︎-1.1","0.7","安め","1@328.02","⇨4.7(10:40に4.7%)","225.26"
"2021-04-23","4","0.1","1.2","1.2","0.8","2.6","↗︎3.0↗︎1.1","0.3","中立","2@336.57","⇨2.6","225.26"
"2021-04-26","4","-0.2","-0.4","0.2","-0.3","-0.5","↗︎2.2↗︎0.8","-2.2","高め","3@336.11","⇨-0.3(9:55に-2.2%)","225.26"
"2021-04-27","4","0.2","0.1","0.1","0.0","-0.9","↘︎-1.8↘︎-0.6","-1.4","高め","0@333.19","⇨0.1(10:20に-1.4%)","225.26"
"2021-04-28","1","-0.2","-0.4","-1.1","-0.6","-0.7","↘︎-0.5↘︎-0.3","-2.1","中立","-1@330.95","⇨0.1(9:35に-2.1%)","225.26"
"2021-04-29","4","1.1","0.5","-0.2","0.1","-3.1","↘︎-2.8↘︎-0.6","-3.1","中立","0@320.81","⇨-2.1(11:15に-2.1%)","225.26"
"2021-04-30","2","-0.8","-1.3","-1.1","-0.9","-0.5","↗︎1.5↗︎0.2","-1.1","安い","-1@319.28","⇨1.4(10:30に1.4%)","225.26"
"2021-05-03","1","0.4","0.1","0.1","0.2","-1.8","↘︎-2.5↘︎-0.8","-1.5","安い","-2@313.92","⇨0.1(9:55に-1.5%)","225.26"
"2021-05-04","5","-0.9","-1.2","-1.3","-1.3","-2.9","↘︎-5.3↘︎-1.2","-4.6","安い","-3@304.85","⇨-2.9(11:45に-4.6%)","225.26"
"2021-05-05","4","0.6","0.4","0.5","0.7","-2.4","↗︎0.1↘︎-0.8","-2.8","安い","-4@297.59","⇨-2.4","225.26"
"2021-05-06","1","-0.1","-0.5","-1.3","-0.5","-1.5","↗︎2.0↗︎1.0","-3.7","安い","-5@293.05","⇨-1.2(10:20に-3.7%)","225.26"
"2021-05-07","2","1.3","1.5","1.3","1.3","0.8","↗︎0.1↘︎-0.4","1.3","安い","-6@295.24","⇨3.7(10:20に3.7%)","225.26"
"2021-05-10","5","-0.3","-0.1","-0.6","-0.6","-2.3","↘︎-3.8↘︎-2.2","-0.3","安い","-7@288.49","⇨-2.7(9:55に-2.8%)","225.26"
"2021-05-11","1","-5.3","-2.0","-5.0","-5.0","4.1","↗︎4.9↗︎5.0","-4.4","安い","-8@304.85","⇨4.5(14:30に4.5%)","225.26"
"2021-05-12","4","-1.2","-2.3","-2.8","-2.7","-3.5","↘︎-2.2↘︎-1.3","-4.7","高め","1@289.70","⇨-3.5","225.26"
"2021-05-13","4","0.8","1.1","1.2","1.2","0.2","↘︎-0.6↗︎0.5","-4.4","安め","-1@290.16","⇨-0.1","225.26"
"2021-05-14","1","0.9","1.0","1.2","1.3","6.1","↗︎2.7↗︎1.3","1.2","安め","0@307.89","⇨6.1(10:40に6.1%)","225.26"
"2021-05-17","1","-0.6","-0.6","-0.5","-1.2","0.3","↘︎-1.6↘︎-0.2","-1.4","安い","-1@308.93","⇨0.3(鋸状で機会なし)","225.26"
"2021-05-18","6","0.5","0.8","0.3","0.4","1.3","↘︎-0.2↘︎-0.6","-0.6","安め","1@312.86","⇨4.0(10:40に4.0%)","225.26"
"2021-05-19","1","-1.6","-2.4","-3.6","-3.6","-0.8","↗︎2.5↗︎0.6","-3.5","安め","0@310.46","⇨-0.9(9:30に-3.8%)","225.26"
