"date","type","AI1","momentum","QQQ3","Nasdaq100Fut","8:38","9:00","sq9:00","9:26","9:30","9:35","9:45","10:00","10:45","11:30","13:30","16:00","成行","target","基準","基準momemtum","Memo","Max,Min","PER100値"
"2021-02-10","3","","","","","0.3","","","0.8","0.4","","1.9","1.4","-2.5","-1.1","-0.2","0.2","","","","","","",""
"2021-02-11","2","","","","","0.4","","","0.6","0.6","","2.0","0.9","2.5","2.2","1.2","0.4","","","","","本当のピークは11:45(2.8%)","",""
"2021-02-12","1","","","","","-0.1","","","-0.9","-0.3","","-0.6","-0.8","-0.9","0.1","-0.5","0.1","","","","","","",""
"2021-02-16","2","","","","","0.4","","","0.5","1.1","","4.0","3.3","3.7","2.6","2.9","2.6","","","","","","",""
"2021-02-17","5","","","","","-0.3","","","-0.9","-1.0","","-2.9","-2.5","-3.7","-5.2","-3.7","-3.4","","","","","","",""
"2021-02-18","4","","","","","-1.0","","","-1.7","-0.5","","-1.6","-1.0","-2.6","-2.3","-2.6","-2.7","","","","","","",""
"2021-02-19","3","","","","","1.3","","","0.8","0.8","","0.9","0.2","0.4","1.1","0.0","-0.2","","","","","差: 0.8","",""
"2021-02-22","5","","","","","-2.4","","","-2.3","-2.5","","-2.1","-1.6","-3.8","-4.2","-3.6","-5.5","","","","","","",""
"2021-02-23","1","","","","","-4.4","","","-5.6","-5.5","","-10.1","-6.5","-3.9","-4.4","-4.1","-1.6","","","","","","",""
"2021-02-24","1","","","","","0.7","","","-2.1","-1.3","","-2.3","-2.1","-2.0","-0.4","-0.6","-0.8","","","","","差: 0.4, -0.9","",""
"2021-02-25","3","","","","","-1.4","","","-1.0","-0.8","","0.0","-1.2","-1.4","-1.6","-4.1","-5.3","","","","","差: 0.6, -1.0","",""
"2021-02-26","1","","","","","0.1","","","1.2","0.9","","0.7","-0.4","-1.6","1.0","2.4","2.4","","","","","差: 1.0, -1.9(10:30-1.6%、急激に回復し10:45-0.4%)","",""
"2021-03-01","1","","","","","2.6","","","3.1","4.1","","4.7","5.2","5.5","6.1","8.4","9.6","","","","","差: 1.8, -0.7","",""
"2021-03-02","4","","","","","6.9","","","7.7","6.7","","4.4","4.1","0.9","0.6","-4.8","-9.0","","","","","差: 0.7, -0.2(4はMaxに差があまり出ない)","",""
"2021-03-03","4","","","","","1.7","","","1.6","2.7","","-1.1","-3.0","-3.5","-3.8","-6.5","-8.4","","","","","差: 0.1, -0.7(4はMaxに差があまり出ない)","",""
"2021-03-04","2","","","","","0.5","","","1.4","1.9","","0.9","-0.3","3.2","2.7","-0.4","0.5","","","","","差: 1.7, -2.1","",""
